Date/Time,Cogeneration:ElectricitySurplusSold [J](Hourly),Cogeneration:ElectricityPurchased [J](Hourly),Photovoltaic:ElectricityProduced [J](Hourly) 
 01/15  12:00:00,0.0,5121685.90377438,3418575.98338584 
 01/15  13:00:00,599588.381950796,103131.917510225,6683560.34527455 
 01/15  14:00:00,332807.261243408,387082.640656028,5272239.52223917 
 01/15  15:00:00,1634901.8234186,7833.32192761445,6551652.3631225 
 01/15  16:00:00,0.0,1980917.27712429,3175519.15012746 
 01/15  17:00:00,0.0,2247350.19889226,4148849.26845445 
 01/15  18:00:00,0.0,7020425.15708619,512468.35220979 
 01/15  19:00:00,0.0,8401481.03894212,0.0 
 01/15  20:00:00,0.0,8394129.0655103,0.0 
 01/15  21:00:00,0.0,8083137.12069063,0.0 
 01/15  22:00:00,0.0,7313320.36464732,0.0 
 01/15  23:00:00,0.0,5837083.85259061,0.0 
 01/15  24:00:00,0.0,4443466.05044692,0.0 
 01/16  01:00:00,0.0,3658696.1162994,0.0 
 01/16  02:00:00,0.0,4372212.42510432,0.0 
 01/16  03:00:00,0.0,5194513.33314341,0.0 
 01/16  04:00:00,0.0,5626378.12331024,0.0 
 01/16  05:00:00,0.0,6461533.09099373,0.0 
 01/16  06:00:00,0.0,7625186.76540399,0.0 
 01/16  07:00:00,0.0,8988439.88823557,0.0 
 01/16  08:00:00,0.0,9749571.01223201,94834.9275197446 
 01/16  09:00:00,0.0,9215946.05952285,614336.83324732 
 01/16  10:00:00,0.0,8338499.40471472,1211691.1119057 
 01/16  11:00:00,0.0,6745736.95936885,1875787.53912973 
 01/16  12:00:00,320780.173608282,1428102.33256275,5319311.50807447 
 01/16  13:00:00,2928665.24971032,0.0,7983050.0206402 
 01/16  14:00:00,191556.141330728,795903.622799544,4222164.68665456 
 01/16  15:00:00,0.0,2415426.1446424,2221797.49694593 
 01/16  16:00:00,0.0,1743692.62342125,3135990.54750654 
 01/16  17:00:00,0.0,2333300.44244567,3516866.12101958 
 01/16  18:00:00,0.0,6717376.35525993,431302.051702923 
 01/16  19:00:00,0.0,8029617.04849372,0.0 
 01/16  20:00:00,0.0,7995273.6425992,0.0 
 01/16  21:00:00,0.0,7696542.02384612,0.0 
 01/16  22:00:00,0.0,6965079.51704189,0.0 
